stock_id,name,sector,risk_profile
DART,Duta Anggada Realty Tbk.,Properties and Real Estate,Sedang
DATA,Remala Abadi Tbk.,Infrastructures,Tinggi
DAYA,Duta Intidaya Tbk.,Consumer Non-Cyclicals,Tinggi
DCII,DCI Indonesia Tbk.,Technology,Sedang
DEAL,Dewata Freightinternational Tb,Transportation and Logistic,Tinggi
DEFI,Danasupra Erapacific Tbk.,Financials,Sedang
DEPO,Caturkarda Depo Bangunan Tbk.,Consumer Cyclicals,Sedang
DEWA,Darma Henwa Tbk,Energy,Sedang
DEWI,Dewi Shri Farmindo Tbk.,Consumer Non-Cyclicals,Tinggi
DFAM,Dafam Property Indonesia Tbk.,Consumer Cyclicals,Tinggi
DGIK,Nusa Konstruksi Enjiniring Tbk,Infrastructures,Sedang
DGNS,Diagnos Laboratorium Utama Tbk,Healthcare,Tinggi
DGWG,Delta Giri Wacana Tbk.,Basic Materials,Tinggi
DIGI,Arkadia Digital Media Tbk.,Consumer Cyclicals,Sedang
DILD,Intiland Development Tbk.,Properties and Real Estate,Sedang
DIVA,Distribusi Voucher Nusantara T,Technology,Tinggi
DKFT,Central Omega Resources Tbk.,Basic Materials,Sedang
DLTA,Delta Djakarta Tbk.,Consumer Non-Cyclicals,Rendah
DMAS,Puradelta Lestari Tbk.,Properties and Real Estate,Sedang
DMMX,Digital Mediatama Maxima Tbk.,Technology,Tinggi
DMND,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals,Sedang
DNAR,Bank Oke Indonesia Tbk.,Financials,Tinggi
DNET,Indoritel Makmur Internasional,Financials,Sedang
DOID,Delta Dunia Makmur Tbk.,Energy,Sedang
DOOH,Era Media Sejahtera Tbk.,Consumer Cyclicals,Tinggi
DOSS,Global Sukses Digital Tbk.,Consumer Cyclicals,Tinggi
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials,Sedang
DPUM,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals,Sedang
DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals,Sedang
DSFI,Dharma Samudera Fishing Indust,Consumer Non-Cyclicals,Sedang
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals,Sedang
DSSA,Dian Swastatika Sentosa Tbk,Energy,Sedang
DUCK,Jaya Bersama Indo Tbk.,Consumer Cyclicals,Sedang
DUTI,Duta Pertiwi Tbk,Properties and Real Estate,Sedang
DVLA,Darya-Varia Laboratoria Tbk.,Healthcare,Rendah
DWGL,Dwi Guna Laksana Tbk.,Energy,Tinggi
DYAN,Dyandra Media International Tb,Industrials,Sedang
EAST,Eastparc Hotel Tbk.,Consumer Cyclicals,Sedang
ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals,Sedang
EDGE,Indointernet Tbk.,Technology,Sedang
EKAD,Ekadharma International Tbk.,Basic Materials,Rendah
ELIT,Data Sinergitama Jaya Tbk.,Technology,Tinggi
