stock_id,name,sector,avg_return_1m,volatility_1m,avg_return_3m,volatility_3m,avg_return_6m,volatility_6m,avg_return_1y,volatility_1y,risk_profile
BEEF,Estika Tata Tiara Tbk.,Consumer Non-Cyclicals,-0.0007,0.055,0.0004,0.074,-0.0023,0.0583,0.0027,0.0571,Sedang
BEER,Jobubu Jarum Minahasa Tbk.,Consumer Non-Cyclicals,-0.0033,0.0434,-0.0041,0.0301,-0.0036,0.0332,-0.0022,0.0316,Sedang
BEKS,Bank Pembangunan Daerah Banten,Financials,-0.0051,0.0461,0.0037,0.0729,0.0006,0.0657,-0.0018,0.0705,Sedang
BELI,Global Digital Niaga Tbk.,Technology,0.0001,0.0122,0.0,0.0083,-0.0004,0.0091,0.0,0.0118,Rendah
BELL,Trisula Textile Industries Tbk,Consumer Cyclicals,-0.0011,0.0298,-0.0028,0.0409,0.0023,0.0744,-0.0009,0.0614,Sedang
BESS,Batulicin Nusantara Maritim Tb,Energy,0.014,0.0474,0.0124,0.0478,0.0064,0.0407,0.0037,0.039,Sedang
BEST,Bekasi Fajar Industrial Estate,Properties and Real Estate,-0.0066,0.0221,-0.0035,0.0244,-0.0006,0.0319,-0.0018,0.0276,Sedang
BFIN,BFI Finance  Indonesia Tbk.,Financials,-0.0005,0.0201,-0.001,0.0237,-0.0003,0.0279,-0.0008,0.0264,Sedang
BGTG,Bank Ganesha Tbk.,Financials,-0.0063,0.0223,0.0024,0.042,0.0009,0.035,-0.0003,0.0327,Tinggi
BHAT,Bhakti Multi Artha Tbk.,Financials,0.0008,0.0105,-0.0018,0.0178,0.0017,0.0288,-0.0,0.0291,Sedang
BHIT,MNC Asia Holding Tbk.,Industrials,-0.0157,0.0266,-0.0074,0.0269,-0.0026,0.0556,-0.0028,0.0516,Sedang
BIKA,Binakarya Jaya Abadi Tbk.,Properties and Real Estate,0.0,0.0,0.0,0.0,0.0063,0.0669,-0.001,0.0676,Tinggi
BIKE,Sepeda Bersama Indonesia Tbk.,Consumer Cyclicals,0.0065,0.0341,-0.0004,0.0238,0.0015,0.0333,0.003,0.0362,Sedang
BIMA,Primarindo Asia Infrastructure,Consumer Cyclicals,-0.0056,0.0371,-0.0009,0.0544,0.002,0.056,0.002,0.0656,Tinggi
BINA,Bank Ina Perdana Tbk.,Financials,0.0002,0.0107,0.0001,0.0114,-0.0002,0.0114,0.0002,0.0124,Sedang
BINO,Perma Plasindo Tbk.,Industrials,-0.0089,0.0926,-0.003,0.0823,0.0035,0.0818,0.0022,0.0617,Sedang
BIPI,Astrindo Nusantara Infrastrukt,Energy,-0.0025,0.0303,0.0068,0.0621,0.0014,0.0643,-0.0002,0.0506,Sedang
BIPP,Bhuwanatala Indah Permai Tbk.,Properties and Real Estate,0.0137,0.0726,0.0102,0.0649,0.0083,0.0653,0.0003,0.0681,Sedang
BIRD,Blue Bird Tbk.,Transportation and Logistic,-0.0051,0.0231,-0.0011,0.0225,0.0009,0.0205,-0.0007,0.0212,Sedang
BISI,BISI International Tbk.,Consumer Non-Cyclicals,-0.0001,0.0408,-0.0035,0.0322,-0.0027,0.0295,-0.0006,0.0259,Sedang
BJBR,Bank Pembangunan Daerah Jawa B,Financials,-0.0002,0.0099,-0.0008,0.0085,-0.0005,0.0102,-0.0006,0.0104,Rendah
BJTM,Bank Pembangunan Daerah Jawa T,Financials,0.0016,0.0137,0.0002,0.0126,-0.0001,0.0148,-0.0001,0.0131,Rendah
BKDP,Bukit Darmo Property Tbk,Properties and Real Estate,-0.0042,0.0244,0.0067,0.0359,0.001,0.0456,0.0025,0.0743,Sedang
BKSL,Sentul City Tbk.,Properties and Real Estate,-0.0099,0.0583,0.0057,0.056,0.0052,0.0534,0.0023,0.0561,Sedang
BKSW,Bank QNB Indonesia Tbk.,Financials,-0.0073,0.0334,0.0044,0.082,0.0026,0.0628,-0.0003,0.049,Tinggi
BLES,Superior Prima Sukses Tbk.,Basic Materials,0.0035,0.0379,0.0023,0.0304,0.0021,0.0453,0.0021,0.0453,Sedang
BLTA,Berlian Laju Tanker Tbk,Transportation and Logistic,0.0014,0.0544,0.0005,0.0579,0.0023,0.0679,-0.0057,0.0736,Sedang
BLTZ,Graha Layar Prima Tbk.,Consumer Cyclicals,0.0,0.0,0.0072,0.0435,0.0045,0.0767,0.0022,0.0687,Sedang
BLUE,Berkah Prima Perkasa Tbk.,Industrials,0.0003,0.0108,-0.0002,0.0108,0.0002,0.0135,0.0002,0.0238,Sedang
BMAS,Bank Maspion Indonesia Tbk.,Financials,-0.0122,0.0193,-0.0007,0.0761,0.0012,0.0554,0.0001,0.0486,Tinggi
BMBL,Lavender Bina Cendikia Tbk.,Consumer Cyclicals,0.024,0.0924,0.0126,0.0894,0.0175,0.1314,0.0014,0.1057,Tinggi
BMHS,Bundamedik Tbk.,Healthcare,-0.0013,0.0401,-0.0004,0.0479,0.0003,0.055,-0.0004,0.0416,Sedang
BMRI,Bank Mandiri (Persero) Tbk.,Financials,-0.0005,0.0312,-0.0018,0.0243,-0.0004,0.0227,0.0006,0.0203,Sedang
BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials,0.0012,0.0188,0.0001,0.0193,-0.0003,0.0209,0.0008,0.0371,Tinggi
BMTR,Global Mediacom Tbk.,Consumer Cyclicals,-0.0031,0.0166,-0.0025,0.0166,-0.0013,0.0228,-0.002,0.0232,Sedang
BNBA,Bank Bumi Arta Tbk.,Financials,-0.0042,0.0198,-0.0024,0.0274,0.0003,0.0313,-0.0015,0.0307,Sedang
BNBR,Bakrie & Brothers Tbk,Industrials,-0.0107,0.068,-0.0009,0.058,-0.0012,0.0623,-0.0013,0.0563,Sedang
BNGA,Bank CIMB Niaga Tbk.,Financials,-0.0018,0.0117,-0.0014,0.0124,-0.0005,0.0136,0.0005,0.0157,Sedang
BNII,Bank Maybank Indonesia Tbk.,Financials,-0.0052,0.0186,-0.0025,0.014,-0.0012,0.0235,-0.001,0.0207,Sedang
BNLI,Bank Permata Tbk.,Financials,0.0092,0.0248,0.0018,0.0355,0.0031,0.0434,0.0015,0.0324,Sedang
BOAT,Newport Marine Services Tbk.,Energy,-0.0144,0.0562,0.0108,0.1134,0.0108,0.1134,0.0108,0.1134,Tinggi
BOBA,Formosa Ingredient Factory Tbk,Consumer Non-Cyclicals,0.0014,0.024,0.0026,0.0711,0.0025,0.0559,0.0018,0.0476,Sedang
BOGA,Bintang Oto Global Tbk.,Consumer Cyclicals,0.0063,0.0336,-0.0058,0.0424,-0.0033,0.0315,-0.0028,0.0286,Rendah
BOLA,Bali Bintang Sejahtera Tbk.,Consumer Cyclicals,-0.003,0.0204,-0.0015,0.0206,0.0006,0.0311,-0.002,0.0335,Sedang
BOLT,Garuda Metalindo Tbk.,Consumer Cyclicals,0.0007,0.0154,0.0032,0.0177,0.0037,0.0204,0.0027,0.0252,Sedang
BOSS,Borneo Olah Sarana Sukses Tbk.,Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.028,Tinggi
BPFI,Woori Finance Indonesia Tbk.,Financials,-0.001,0.0317,-0.0008,0.0215,-0.0008,0.0345,0.0003,0.0483,Sedang
BPII,Batavia Prosperindo Internasio,Financials,-0.0048,0.0378,0.0016,0.0225,0.0002,0.0197,0.0003,0.0172,Rendah
BPTR,Batavia Prosperindo Trans Tbk.,Transportation and Logistic,-0.0047,0.0264,-0.0028,0.0373,0.001,0.043,0.0002,0.0534,Tinggi
BRAM,Indo Kordsa Tbk.,Consumer Cyclicals,-0.0009,0.0198,0.0008,0.0265,0.0012,0.0256,-0.0002,0.0237,Tinggi
BREN,Barito Renewables Energy Tbk.,Infrastructures,0.0051,0.0322,-0.0007,0.0585,0.002,0.0599,0.0102,0.0707,Tinggi
BRIS,Bank Syariah Indonesia Tbk.,Financials,-0.0015,0.024,0.0002,0.0244,0.0009,0.0265,0.0019,0.0248,Sedang
BRMS,Bumi Resources Minerals Tbk.,Basic Materials,-0.0011,0.0549,0.012,0.0561,0.0063,0.0431,0.003,0.038,Sedang
BRNA,Berlina Tbk.,Basic Materials,0.0008,0.0416,-0.0018,0.0605,-0.0017,0.0589,-0.0015,0.0545,Sedang
BRPT,Barito Pacific Tbk.,Basic Materials,-0.0009,0.0242,-0.0027,0.0279,0.0001,0.0397,0.0015,0.0455,Sedang
BRRC,Raja Roti Cemerlang Tbk.,Consumer Non-Cyclicals,-0.0953,0.1762,-0.0953,0.1762,-0.0953,0.1762,-0.0953,0.1762,Tinggi
BSBK,Wulandari Bangun Laksana Tbk.,Properties and Real Estate,0.0,0.0,-0.0032,0.0305,0.0009,0.0621,0.0016,0.0547,Tinggi
BSDE,Bumi Serpong Damai Tbk.,Properties and Real Estate,-0.0015,0.0157,-0.0027,0.0245,0.0004,0.0238,-0.0004,0.0236,Sedang
BSIM,Bank Sinarmas Tbk.,Financials,0.0056,0.0866,0.0009,0.0528,-0.0002,0.0425,0.0003,0.0337,Sedang
BSML,Bintang Samudera Mandiri Lines,Energy,0.0062,0.0391,0.0058,0.0528,0.0015,0.0518,0.0023,0.0618,Tinggi
BSSR,Baramulti Suksessarana Tbk.,Energy,0.0012,0.0116,-0.0003,0.0135,0.0019,0.0136,0.0014,0.0142,Sedang
BSWD,Bank Of India Indonesia Tbk.,Financials,-0.0282,0.0099,-0.0282,0.0099,-0.0289,0.009,0.0202,0.0544,Rendah
BTEK,Bumi Teknokultura Unggul Tbk,Consumer Non-Cyclicals,0.0581,0.2704,0.0483,0.2837,0.057,0.3722,0.0227,0.3287,Tinggi
BTEL,Bakrie Telecom Tbk.,Infrastructures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
BTON,Betonjaya Manunggal Tbk.,Basic Materials,0.0021,0.0434,0.001,0.0563,0.001,0.0465,0.001,0.0426,Sedang
BTPN,Bank SMBC Indonesia Tbk.,Financials,-0.0018,0.012,-0.001,0.0154,-0.0008,0.0136,-0.0006,0.0119,Rendah
BTPS,Bank BTPN Syariah Tbk.,Financials,-0.0008,0.0198,-0.0034,0.0238,-0.0015,0.024,-0.0021,0.0259,Sedang
BUAH,Segar Kumala Indonesia Tbk.,Consumer Non-Cyclicals,-0.0011,0.0153,0.0047,0.0194,0.0038,0.0208,0.0013,0.0284,Sedang
BUDI,Budi Starch & Sweetener Tbk.,Consumer Non-Cyclicals,-0.003,0.0179,-0.0011,0.0141,-0.0015,0.0185,0.0001,0.0219,Sedang
