stock_id,name,sector ,sub_sector 
MDRN ,Modern Internasional Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
MEDC ,Medco Energi Internasional Tbk. ,Mining ,Crude Petroleum & Natural Gas Production 
MEGA ,Bank Mega Tbk. ,Finance ,Bank 
MERK ,Merck Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
META ,Nusantara Infrastructure Tbk. ,"Infrastructure, Utilities And Transportation ","Toll Road, Airport, Harbor And Allied Products "
MFIN ,Mandala Multifinance Tbk. ,Finance ,Financial Institution 
MFMI ,Multifiling Mitra Indonesia Tbk. ,"Trade, Services & Investment ",Others 
MICE ,Multi Indocitra Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
MIDI ,Midi Utama Indonesia Tbk. ,"Trade, Services & Investment ",Retail Trade 
MIRA ,Mitra International Resources Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
MITI ,Mitra Investindo Tbk. ,Mining ,Land / Stone Quarrying 
MKPI ,Metropolitan Kentjana Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
MLBI ,Multi Bintang Indonesia Tbk. ,Consumer Goods Industry ,Food And Beverages 
MLIA ,Mulia Industrindo Tbk. ,Basic Industry and Chemicals ,"Ceramics, Glass, Porcelain "
MLPL ,Multipolar Tbk. ,"Trade, Services & Investment ",Investment Company 
MLPT ,Multipolar Technology Tbk. ,"Trade, Services & Investment ",Computer And Services 
MNCN ,Media Nusantara Citra Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
MPMX ,Mitra Pinasthika Mustika Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
MPPA ,Matahari Putra Prima Tbk. ,"Trade, Services & Investment ",Retail Trade 
MRAT ,Mustika Ratu Tbk. ,Consumer Goods Industry ,Cosmetics And Household 
MREI ,Maskapai Reasuransi Indonesia Tbk. ,Finance ,Insurance 
MSKY ,MNC Sky Vision Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
MTDL ,Metrodata Electronics Tbk. ,"Trade, Services & Investment ",Computer And Services 
MTFN ,Capitalinc Investment Tbk. ,Finance ,Others 
MTLA ,Metropolitan Land Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
MTSM ,Metro Realty Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
